,QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT
116,01a7d42b-0001-82ae-0000-0004f1871905,1326,149,1183,100,LARGE_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100
117,01a7d42b-0001-82ae-0000-0004f1871901,35858,126,35744,100000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100000000
118,01a7d42b-0001-82ad-0000-0004f18728b5,1911,158,1763,1000000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000
119,01a7d42b-0001-82ae-0000-0004f18718fd,734,182,560,10000,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000
120,01a7d42b-0001-82ad-0000-0004f18728ad,731,188,559,100,LARGE_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
121,01a7d42b-0001-82ae-0000-0004f18718f9,37,27,10,0,MEDIUM_TEST_WH,use warehouse LARGE_TEST_WH
122,01a7d42b-0001-82ad-0000-0004f18728a9,375161,225,180984,100000000,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
123,01a7d42b-0001-82ad-0000-0004f18728a5,194136,201,11713,1000000,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
124,01a7d42b-0001-82ad-0000-0004f18728a1,182453,133,2915,10000,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
125,01a7d42b-0001-82ae-0000-0004f18718f5,179579,148,2008,100,MEDIUM_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
126,01a7d42b-0001-82ae-0000-0004f18718f1,328065,161,182769,100000000,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
127,01a7d42b-0001-82ae-0000-0004f18718ed,145322,168,4688,1000000,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
128,01a7d42b-0001-82ad-0000-0004f187289d,140663,138,2198,10000,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
129,01a7d42b-0001-82ad-0000-0004f1872899,138507,148,2067,100,MEDIUM_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
130,01a7d42b-0001-82ad-0000-0004f1872895,364689,153,234773,100000000,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
131,01a7d42b-0001-82ae-0000-0004f18718e9,129945,147,10801,1000000,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
132,01a7d42b-0001-82ae-0000-0004f18718e5,119173,186,2491,10000,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000
133,01a7d42b-0001-82ae-0000-0004f18718e1,116707,181,1478,100,MEDIUM_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100
134,01a7d42b-0001-82ad-0000-0004f1872891,249749,160,181480,100000000,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100000000
135,01a7d42b-0001-82ad-0000-0004f187288d,68307,179,4178,1000000,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000
136,01a7d42b-0001-82ae-0000-0004f18718dd,64158,172,2545,10000,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000
137,01a7d42b-0001-82ad-0000-0004f1872889,61665,181,2072,100,MEDIUM_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
138,01a7d42b-0001-82ad-0000-0004f1872885,39,27,12,0,SMALL_TEST_WH,use warehouse MEDIUM_TEST_WH
139,01a7d42b-0001-82ad-0000-0004f1872881,2011845,224,835918,100000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
140,01a7d42b-0001-82ad-0000-0004f187287d,1182114,265,15403,1000000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
141,01a7d42a-0001-82ad-0000-0004f1872879,1179032,199,2377,10000,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
142,01a7d42a-0001-82ae-0000-0004f18718c1,1176687,161,2954,100,SMALL_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
143,01a7d42a-0001-82ae-0000-0004f18718bd,1648264,187,477158,100000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
144,01a7d42a-0001-82ae-0000-0004f18718a9,1205634,222,6909,1000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
145,01a7d42a-0001-82ae-0000-0004f18718a5,1198722,191,2397,10000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
146,01a7d42a-0001-82ae-0000-0004f18718a1,1196379,193,2037,100,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
147,01a7d42a-0001-82ad-0000-0004f1872865,1936640,219,752157,100000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
148,01a7d429-0001-82ad-0000-0004f1872861,1204727,180,14188,1000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
149,01a7d429-0001-82ad-0000-0004f187285d,1190551,187,2587,10000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000
150,01a7d429-0001-82ad-0000-0004f1872859,1188011,204,1648,100,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100
151,01a7d429-0001-82ae-0000-0004f187188d,1420214,194,391903,100000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100000000
152,01a7d429-0001-82ae-0000-0004f1871889,1028347,202,5901,1000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000
153,01a7d429-0001-82ae-0000-0004f1871885,1022464,128,2405,10000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000
154,01a7d429-0001-82ad-0000-0004f1872855,1022189,258,1249,100,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100
155,01a7d429-0001-82ad-0000-0004f1872851,35,25,10,0,LARGE_TEST_WH,use warehouse SMALL_TEST_WH
156,01a7d429-0001-82ad-0000-0004f187284d,74100,153,72997,100000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100000000
157,01a7d429-0001-82ad-0000-0004f1872849,12647,160,7680,1000000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 1000000
158,01a7d429-0001-82ae-0000-0004f1871875,5941,132,4543,10000,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 10000
159,01a7d429-0001-82ae-0000-0004f187186d,8755,133,8628,100,LARGE_TEST_WH,select calc_fac_vectorized(*) from demodb.udf_testing.udf_test limit 100
160,01a7d429-0001-82ae-0000-0004f1871869,57229,140,57099,100000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100000000
161,01a7d429-0001-82ad-0000-0004f1872845,4617,216,4409,1000000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000
162,01a7d429-0001-82ad-0000-0004f187283d,10378,470,3055,10000,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000
163,01a7d429-0001-82ae-0000-0004f1871859,8584,156,1976,100,LARGE_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100
